Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
2019-2020,Giannis Antetokounmpo,East,"Nov 4, 2019",Milwaukee Bucks,F,6-11,243,25,2013,6
2019-2020,Anthony Davis,West,"Nov 4, 2019",Los Angeles Lakers,PF,6-10,253,26,2012,7
2019-2020,Trae Young,East,"Oct 28, 2019",Atlanta Hawks,PG,6-1,164,21,2018,1
2019-2020,Karl-Anthony Towns,West,"Oct 28, 2019",Minnesota Timberwolves,C,7-0,248,24,2015,4
2018-2019,Kemba Walker,East,"Apr 8, 2019",Charlotte Hornets,G,6-0,184,28,2011,7
2018-2019,Russell Westbrook,West,"Apr 8, 2019",Oklahoma City Thunder,G,6-4,200,30,2008,10
2018-2019,Andre Drummond,East,"Apr 1, 2019",Detroit Pistons,C,6-11,279,25,2012,6
2018-2019,Damian Lillard,West,"Apr 1, 2019",Portland Trail Blazers,G,6-2,195,28,2012,6
2018-2019,Trae Young,East,"Mar 25, 2019",Atlanta Hawks,PG,6-1,164,20,2018,0
2018-2019,James Harden,West,"Mar 25, 2019",Houston Rockets,SG,6-5,220,29,2009,9
2018-2019,Bradley Beal,East,"Mar 18, 2019",Washington Wizards,SG,6-4,207,25,2012,6
2018-2019,Rudy Gobert,West,"Mar 18, 2019",Utah Jazz,C,7-1,258,26,2013,5
2018-2019,Andre Drummond,East,"Mar 11, 2019",Detroit Pistons,C,6-11,279,25,2012,6
2018-2019,Mike Conley,West,"Mar 11, 2019",Memphis Grizzlies,PG,6-0,175,31,2007,11
2018-2019,Ben Simmons,East,"Mar 4, 2019",Philadelphia Sixers,PF,6-10,240,22,2016,2
2018-2019,Donovan Mitchell,West,"Mar 4, 2019",Utah Jazz,SG,6-3,215,22,2017,1
2018-2019,Bojan Bogdanovic,East,"Feb 11, 2019",Indiana Pacers,F,6-7,226,29,2011,4
2018-2019,Paul George,West,"Feb 11, 2019",Oklahoma City Thunder,GF,6-8,220,28,2010,8
2018-2019,Giannis Antetokounmpo,East,"Feb 4, 2019",Milwaukee Bucks,F,6-11,243,24,2013,5
2018-2019,Nikola Jokic,West,"Feb 4, 2019",Denver Nuggets,C,6-11,284,24,2014,3
2018-2019,Giannis Antetokounmpo,East,"Jan 28, 2019",Milwaukee Bucks,F,6-11,243,24,2013,5
2018-2019,Paul George,West,"Jan 28, 2019",Oklahoma City Thunder,GF,6-8,220,28,2010,8
2018-2019,D'Angelo Russell,East,"Jan 21, 2019",Brooklyn Nets,SG,6-3,193,23,2015,3
2018-2019,James Harden,West,"Jan 21, 2019",Houston Rockets,SG,6-5,220,29,2009,9
2018-2019,Kawhi Leonard,East,"Jan 14, 2019",Toronto Raptors,F,6-7,225,27,2011,7
2018-2019,Donovan Mitchell,West,"Jan 14, 2019",Utah Jazz,SG,6-3,215,22,2017,1
2018-2019,Joel Embiid,East,"Jan 7, 2019",Philadelphia Sixers,C,7-0,280,24,2014,4
2018-2019,Nikola Jokic,West,"Jan 7, 2019",Denver Nuggets,C,6-11,284,24,2014,3
2018-2019,Giannis Antetokounmpo,East,"Dec 31, 2018",Milwaukee Bucks,F,6-11,243,24,2013,5
2018-2019,James Harden,West,"Dec 31, 2018",Houston Rockets,SG,6-5,220,29,2009,9
2018-2019,Giannis Antetokounmpo,East,"Dec 24, 2018",Milwaukee Bucks,F,6-11,243,24,2013,5
2018-2019,Paul George,West,"Dec 24, 2018",Oklahoma City Thunder,GF,6-8,220,28,2010,8
2018-2019,Thaddeus Young,East,"Dec 17, 2018",Indiana Pacers,F,6-8,225,30,2007,11
2018-2019,James Harden,West,"Dec 17, 2018",Houston Rockets,SG,6-5,220,29,2009,9
2018-2019,Bradley Beal,East,"Dec 10, 2018",Washington Wizards,SG,6-4,207,25,2012,6
2018-2019,Stephen Curry,West,"Dec 10, 2018",Golden State Warriors,G,6-2,185,30,2009,9
2018-2019,Kawhi Leonard,East,"Dec 3, 2018",Toronto Raptors,F,6-7,225,27,2011,7
2018-2019,Paul Millsap,West,"Dec 3, 2018",Denver Nuggets,FC,6-7,250,34,2006,12
2018-2019,Giannis Antetokounmpo,East,"Nov 26, 2018",Milwaukee Bucks,F,6-11,243,24,2013,5
2018-2019,Tobias Harris,West,"Nov 26, 2018",Los Angeles Clippers,F,6-8,226,26,2011,7
2018-2019,Nikola Vucevic,East,"Nov 19, 2018",Orlando Magic,PF,6-10,260,28,2011,7
2018-2019,Anthony Davis,West,"Nov 19, 2018",New Orleans Pelicans,PF,6-10,253,25,2012,6
2018-2019,Pascal Siakam,East,"Nov 12, 2018",Toronto Raptors,F,6-8,245,24,2016,2
2018-2019,C.J. McCollum,West,"Nov 12, 2018",Portland Trail Blazers,G,6-3,190,27,2013,5
