Season,Player,Conference,Date,Team,Pos,Height,Weight,Age,Draft Yr,YOS
1999-2000,Vince Carter,,"Feb 28, 2000",Toronto Raptors,SF,6-6,220,23,1998,1
1999-2000,Shaquille O'Neal,,"Feb 22, 2000",Los Angeles Lakers,C,7-1,325,27,1992,7
1999-2000,Michael Finley,,"Feb 7, 2000",Dallas Mavericks,G-F,6-7,225,26,1995,4
1999-2000,Dikembe Mutombo,,"Jan 31, 2000",Atlanta Hawks,C,7-2,260,33,1991,8
1999-2000,Steve Francis,,"Jan 24, 2000",Houston Rockets,G,6-3,195,23,1999,0
1999-2000,Chris Webber,,"Jan 17, 2000",Sacramento Kings,F-C,6-9,245,27,1993,6
1999-2000,Grant Hill,,"Jan 10, 2000",Detroit Pistons,SF,6-8,225,27,1994,5
1999-2000,Chris Webber,,"Jan 3, 2000",Sacramento Kings,F-C,6-9,245,27,1993,6
1999-2000,Kevin Garnett,,"Dec 27, 1999",Minnesota Timberwolves,PF,6-11,240,23,1995,4
1999-2000,Jason Kidd,,"Dec 20, 1999",Phoenix Suns,PG,6-4,210,26,1994,5
1999-2000,Alonzo Mourning,,"Dec 13, 1999",Miami Heat,C,6-10,240,30,1992,7
1999-2000,Shaquille O'Neal,,"Dec 5, 1999",Los Angeles Lakers,C,7-1,325,27,1992,7
1999-2000,Tim Duncan,,"Nov 28, 1999",San Antonio Spurs,FC,6-11,250,23,1997,2
1999-2000,Vince Carter,,"Nov 21, 1999",Toronto Raptors,SF,6-6,220,23,1998,1
1999-2000,Kevin Garnett,,"Nov 14, 1999",Minnesota Timberwolves,PF,6-11,240,23,1995,4
1999-2000,Sam Cassell,,"Nov 7, 1999",Milwaukee Bucks,G,6-3,185,30,1993,6
1998-1999,Grant Hill,,"May 2, 1999",Detroit Pistons,SF,6-8,225,26,1994,4
1998-1999,Chris Webber,,"Apr 25, 1999",Sacramento Kings,F-C,6-9,245,25,1993,5
1998-1999,Jason Kidd,,"Apr 18, 1999",Phoenix Suns,PG,6-4,210,25,1994,4
1998-1999,Karl Malone,,"Apr 11, 1999",Utah Jazz,PF,6-9,265,35,1985,13
1998-1999,Kevin Garnett,,"Apr 4, 1999",Minnesota Timberwolves,PF,6-11,240,22,1995,3
1998-1999,Darrell Armstrong,,"Mar 28, 1999",Orlando Magic,PG,6-0,170,30,1991,4
1998-1999,Vince Carter,,"Mar 21, 1999",Toronto Raptors,SF,6-6,220,22,1998,0
1998-1999,Alonzo Mourning,,"Mar 14, 1999",Miami Heat,C,6-10,240,29,1992,6
1998-1999,Tim Duncan,,"Mar 7, 1999",San Antonio Spurs,FC,6-11,250,22,1997,1
1998-1999,Antonio McDyess,,"Feb 28, 1999",Denver Nuggets,F,6-9,245,24,1995,3
1998-1999,Stephon Marbury,,"Feb 21, 1999",Minnesota Timberwolves,G,6-2,180,22,1996,2
1998-1999,Gary Payton,,"Feb 14, 1999",Seattle SuperSonics,G,6-4,180,30,1990,8
1998-1999,Dikembe Mutombo,,"Feb 7, 1999",Atlanta Hawks,C,7-2,260,32,1991,7
1997-1998,Jason Kidd,,"Apr 19, 1998",Phoenix Suns,PG,6-4,210,24,1994,3
1997-1998,Sam Cassell,,"Apr 12, 1998",New Jersey Nets,G,6-3,185,28,1993,4
1997-1998,Michael Jordan,,"Apr 5, 1998",Chicago Bulls,SG,6-6,215,35,1984,12
1997-1998,Alonzo Mourning,,"Mar 29, 1998",Miami Heat,C,6-10,240,28,1992,5
1997-1998,Shaquille O'Neal,,"Mar 22, 1998",Los Angeles Lakers,C,7-1,325,25,1992,5
1997-1998,Jason Kidd,,"Mar 15, 1998",Phoenix Suns,PG,6-4,210,24,1994,3
1997-1998,Karl Malone,,"Mar 8, 1998",Utah Jazz,PF,6-9,265,34,1985,12
1997-1998,Tim Duncan,,"Mar 1, 1998",San Antonio Spurs,FC,6-11,250,21,1997,0
1997-1998,Nick Anderson,,"Feb 22, 1998",Orlando Magic,GF,6-6,228,30,1989,8
1997-1998,Karl Malone,,"Feb 15, 1998",Utah Jazz,PF,6-9,265,34,1985,12
1997-1998,David Robinson,,"Feb 1, 1998",San Antonio Spurs,C,7-1,250,32,1987,8
1997-1998,Jayson Williams,,"Jan 25, 1998",New Jersey Nets,FC,6-10,245,30,1990,7
1997-1998,Allen Iverson,,"Jan 18, 1998",Philadelphia Sixers,G,6-0,165,22,1996,1
1997-1998,Steve Smith,,"Jan 11, 1998",Atlanta Hawks,SG,6-7,200,28,1991,6
1997-1998,Rik Smits,,"Jan 4, 1998",Indiana Pacers,C,7-4,250,31,1988,9
1997-1998,David Robinson,,"Dec 28, 1997",San Antonio Spurs,C,7-1,250,32,1987,8
1997-1998,Michael Jordan,,"Dec 21, 1997",Chicago Bulls,SG,6-6,215,35,1984,12
1997-1998,Glen Rice,,"Dec 14, 1997",Charlotte Hornets,SF,6-8,228,30,1989,8
1997-1998,Wesley Person,,"Dec 7, 1997",Cleveland Cavaliers,SG,6-6,195,26,1994,3
1997-1998,Karl Malone,,"Nov 30, 1997",Utah Jazz,PF,6-9,265,34,1985,12
1997-1998,Michael Jordan,,"Nov 23, 1997",Chicago Bulls,SG,6-6,215,35,1984,12
1997-1998,Shaquille O'Neal,,"Nov 16, 1997",Los Angeles Lakers,C,7-1,325,25,1992,5
1997-1998,Dikembe Mutombo,,"Nov 9, 1997",Atlanta Hawks,C,7-2,260,31,1991,6
1996-1997,Chris Webber,,"Apr 20, 1997",Washington Bullets,F-C,6-9,245,24,1993,3
1996-1997,Allen Iverson,,"Apr 13, 1997",Philadelphia Sixers,G,6-0,165,21,1996,0
1996-1997,Grant Hill,,"Apr 6, 1997",Detroit Pistons,SF,6-8,225,24,1994,2
1996-1997,Kevin Johnson,,"Mar 30, 1997",Phoenix Suns,PG,6-1,180,30,1987,9
1996-1997,Karl Malone,,"Mar 23, 1997",Utah Jazz,PF,6-9,265,33,1985,11
1996-1997,Karl Malone,,"Mar 16, 1997",Utah Jazz,PF,6-9,265,33,1985,11
1996-1997,Patrick Ewing,,"Mar 9, 1997",New York Knicks,C,7-0,240,34,1985,11
1996-1997,Loy Vaught,,"Mar 2, 1997",Los Angeles Clippers,PF,6-9,230,29,1990,6
1996-1997,Scottie Pippen,,"Feb 23, 1997",Chicago Bulls,SF,6-8,228,31,1987,9
1996-1997,Alonzo Mourning,,"Feb 16, 1997",Miami Heat,C,6-10,240,27,1992,4
1996-1997,Glen Rice,,"Feb 2, 1997",Charlotte Hornets,SF,6-8,228,29,1989,7
1996-1997,Mitch Richmond,,"Jan 26, 1997",Sacramento Kings,SG,6-5,215,31,1988,8
1996-1997,Grant Hill,,"Jan 19, 1997",Detroit Pistons,SF,6-8,225,24,1994,2
1996-1997,Glenn Robinson,,"Jan 12, 1997",Milwaukee Bucks,SF,6-7,225,24,1994,2
1996-1997,Glen Rice,,"Jan 5, 1997",Charlotte Hornets,SF,6-8,228,29,1989,7
1996-1997,Tim Hardaway,,"Dec 29, 1996",Miami Heat,PG,6-0,175,30,1989,7
1996-1997,Terrell Brandon,,"Dec 22, 1996",Cleveland Cavaliers,PG,5-11,180,26,1991,5
1996-1997,Shaquille O'Neal,,"Dec 15, 1996",Los Angeles Lakers,C,7-1,325,24,1992,4
1996-1997,Terry Mills,,"Dec 8, 1996",Detroit Pistons,PF,6-10,230,29,1990,6
1996-1997,Dikembe Mutombo,,"Dec 1, 1996",Atlanta Hawks,C,7-2,260,30,1991,5
1996-1997,Charles Barkley,,"Nov 24, 1996",Houston Rockets,PF,6-6,252,34,1984,12
1996-1997,Karl Malone,,"Nov 24, 1996",Utah Jazz,PF,6-9,265,33,1985,11
1996-1997,Dale Ellis,,"Nov 17, 1996",Denver Nuggets,GF,6-7,205,36,1983,13
1996-1997,Hakeem Olajuwon,,"Nov 10, 1996",Houston Rockets,C,7-0,255,34,1984,12
1995-1996,Dennis Scott,,"Apr 21, 1996",Orlando Magic,SF,6-8,229,27,1990,5
1995-1996,Juwan Howard,,"Apr 14, 1996",Washington Bullets,PF,6-9,240,23,1994,1
1995-1996,Kevin Johnson,,"Apr 7, 1996",Phoenix Suns,PG,6-1,180,29,1987,8
1995-1996,Arvydas Sabonis,,"Mar 31, 1996",Portland Trail Blazers,C,7-3,279,31,1986,0
1995-1996,Chris Gatling,,"Mar 24, 1996",Miami Heat,PF,6-10,220,28,1991,4
1995-1996,Grant Hill,,"Mar 17, 1996",Detroit Pistons,SF,6-8,225,23,1994,1
1995-1996,Michael Jordan,,"Mar 10, 1996",Chicago Bulls,SG,6-6,215,33,1984,10
1995-1996,Shaquille O'Neal,,"Mar 3, 1996",Orlando Magic,C,7-1,325,23,1992,3
1995-1996,Hakeem Olajuwon,,"Mar 3, 1996",Houston Rockets,C,7-0,255,33,1984,11
1995-1996,Shawn Kemp,,"Feb 25, 1996",Seattle SuperSonics,C,6-10,280,26,1989,6
1995-1996,Armen Gilliam,,"Feb 18, 1996",New Jersey Nets,PF,6-9,230,31,1987,8
1995-1996,Jason Kidd,,"Feb 4, 1996",Dallas Mavericks,PG,6-4,210,22,1994,1
1995-1996,Reggie Miller,,"Jan 28, 1996",Indiana Pacers,SG,6-7,185,30,1987,8
1995-1996,Michael Jordan,,"Jan 21, 1996",Chicago Bulls,SG,6-6,215,33,1984,10
1995-1996,David Robinson,,"Jan 14, 1996",San Antonio Spurs,C,7-1,250,30,1987,6
1995-1996,Cliff Robinson,,"Jan 7, 1996",Portland Trail Blazers,PF,6-10,225,29,1989,6
1995-1996,Karl Malone,,"Dec 31, 1995",Utah Jazz,PF,6-9,265,32,1985,10
1995-1996,Michael Jordan,,"Dec 24, 1995",Chicago Bulls,SG,6-6,215,33,1984,10
1995-1996,Scottie Pippen,,"Dec 17, 1995",Chicago Bulls,SF,6-8,228,30,1987,8
1995-1996,Dikembe Mutombo,,"Dec 10, 1995",Denver Nuggets,C,7-2,260,29,1991,4
1995-1996,Terrell Brandon,,"Dec 3, 1995",Cleveland Cavaliers,PG,5-11,180,25,1991,4
1995-1996,Shawn Kemp,,"Nov 26, 1995",Seattle SuperSonics,C,6-10,280,26,1989,6
1995-1996,Cedric Ceballos,,"Nov 19, 1995",Los Angeles Lakers,SF,6-6,190,26,1990,5
1995-1996,Penny Hardaway,,"Nov 12, 1995",Orlando Magic,PG,6-7,195,24,1993,2
1994-1995,Karl Malone,,"Apr 23, 1995",Utah Jazz,PF,6-9,265,31,1985,9
1994-1995,Dikembe Mutombo,,"Apr 16, 1995",Denver Nuggets,C,7-2,260,28,1991,3
1994-1995,Clyde Drexler,,"Apr 9, 1995",Houston Rockets,SG,6-7,210,32,1983,11
1994-1995,David Robinson,,"Apr 2, 1995",San Antonio Spurs,C,7-1,250,29,1987,5
1994-1995,Vlade Divac,,"Mar 26, 1995",Los Angeles Lakers,C,7-1,260,27,1989,5
1994-1995,Jason Kidd,,"Mar 19, 1995",Dallas Mavericks,PG,6-4,210,21,1994,0
1994-1995,Rik Smits,,"Mar 12, 1995",Indiana Pacers,C,7-4,250,28,1988,6
1994-1995,Shaquille O'Neal,,"Mar 5, 1995",Orlando Magic,C,7-1,325,22,1992,2
1994-1995,Rod Strickland,,"Feb 26, 1995",Portland Trail Blazers,PG,6-3,175,28,1988,6
1994-1995,Charles Barkley,,"Feb 19, 1995",Phoenix Suns,PF,6-6,252,32,1984,10
1994-1995,Hakeem Olajuwon,,"Feb 5, 1995",Houston Rockets,C,7-0,255,32,1984,10
1994-1995,John Stockton,,"Jan 29, 1995",Utah Jazz,PG,6-1,170,32,1984,10
1994-1995,Patrick Ewing,,"Jan 22, 1995",New York Knicks,C,7-0,240,32,1985,9
1994-1995,Larry Johnson,,"Jan 15, 1995",Charlotte Hornets,F,6-6,250,25,1991,3
1994-1995,Gary Payton,,"Jan 8, 1995",Seattle SuperSonics,G,6-4,180,26,1990,4
1994-1995,Hakeem Olajuwon,,"Jan 1, 1995",Houston Rockets,C,7-0,255,32,1984,10
1994-1995,Cedric Ceballos,,"Dec 25, 1994",Los Angeles Lakers,SF,6-6,190,25,1990,4
1994-1995,Karl Malone,,"Dec 18, 1994",Utah Jazz,PF,6-9,265,31,1985,9
1994-1995,Jamal Mashburn,,"Dec 11, 1994",Dallas Mavericks,SF,6-8,247,22,1993,1
1994-1995,Shaquille O'Neal,,"Dec 4, 1994",Orlando Magic,C,7-1,325,22,1992,2
1994-1995,Penny Hardaway,,"Nov 27, 1994",Orlando Magic,PG,6-7,195,23,1993,1
1994-1995,Elliot Perry,,"Nov 20, 1994",Phoenix Suns,PG,6-0,150,25,1991,3
1994-1995,Tim Hardaway,,"Nov 13, 1994",Golden State Warriors,PG,6-0,175,28,1989,5
1993-1994,David Robinson,,"Apr 24, 1994",San Antonio Spurs,C,7-1,250,28,1987,4
1993-1994,Scottie Pippen,,"Apr 17, 1994",Chicago Bulls,SF,6-8,228,28,1987,6
1993-1994,Dikembe Mutombo,,"Apr 10, 1994",Denver Nuggets,C,7-2,260,27,1991,2
1993-1994,Shawn Kemp,,"Apr 3, 1994",Seattle SuperSonics,C,6-10,280,24,1989,4
1993-1994,Kevin Willis,,"Mar 27, 1994",Atlanta Hawks,C,7-0,245,31,1984,9
1993-1994,Hakeem Olajuwon,,"Mar 20, 1994",Houston Rockets,C,7-0,255,31,1984,9
1993-1994,Joe Dumars,,"Mar 13, 1994",Detroit Pistons,SG,6-3,190,30,1985,8
1993-1994,David Robinson,,"Mar 6, 1994",San Antonio Spurs,C,7-1,250,28,1987,4
1993-1994,Shawn Kemp,,"Feb 27, 1994",Seattle SuperSonics,C,6-10,280,24,1989,4
1993-1994,David Robinson,,"Feb 20, 1994",San Antonio Spurs,C,7-1,250,28,1987,4
1993-1994,David Robinson,,"Feb 6, 1994",San Antonio Spurs,C,7-1,250,28,1987,4
1993-1994,Ron Harper,,"Jan 30, 1994",Los Angeles Clippers,SG,6-6,185,30,1986,7
1993-1994,Kenny Anderson,,"Jan 23, 1994",New Jersey Nets,PG,6-0,168,23,1991,2
1993-1994,Patrick Ewing,,"Jan 16, 1994",New York Knicks,C,7-0,240,31,1985,8
1993-1994,Chris Webber,,"Jan 9, 1994",Golden State Warriors,F-C,6-9,245,20,1993,0
1993-1994,Oliver Miller,,"Jan 2, 1994",Phoenix Suns,C,6-9,280,23,1992,1
1993-1994,Scottie Pippen,,"Dec 26, 1993",Chicago Bulls,SF,6-8,228,28,1987,6
1993-1994,Karl Malone,,"Dec 19, 1993",Utah Jazz,PF,6-9,265,30,1985,8
1993-1994,Shaquille O'Neal,,"Dec 12, 1993",Orlando Magic,C,7-1,325,21,1992,1
1993-1994,David Robinson,,"Dec 5, 1993",San Antonio Spurs,C,7-1,250,28,1987,4
1993-1994,Glen Rice,,"Nov 28, 1993",Miami Heat,SF,6-8,228,26,1989,4
1993-1994,Charles Barkley,,"Nov 21, 1993",Phoenix Suns,PF,6-6,252,31,1984,9
1993-1994,Hakeem Olajuwon,,"Nov 14, 1993",Houston Rockets,C,7-0,255,31,1984,9
1992-1993,Larry Johnson,,"Apr 25, 1993",Charlotte Hornets,F,6-6,250,23,1991,1
1992-1993,Alonzo Mourning,,"Apr 18, 1993",Charlotte Hornets,C,6-10,240,23,1992,0
1992-1993,Hakeem Olajuwon,,"Apr 11, 1993",Houston Rockets,C,7-0,255,30,1984,8
1992-1993,Charles Barkley,,"Apr 4, 1993",Phoenix Suns,PF,6-6,252,30,1984,8
1992-1993,Dikembe Mutombo,,"Mar 28, 1993",Denver Nuggets,C,7-2,260,26,1991,1
1992-1993,Patrick Ewing,,"Mar 21, 1993",New York Knicks,C,7-0,240,30,1985,7
1992-1993,Rumeal Robinson,,"Mar 14, 1993",New Jersey Nets,PG,6-2,195,26,1990,2
1992-1993,Rony Seikaly,,"Mar 7, 1993",Miami Heat,C,6-11,230,27,1988,4
1992-1993,Hakeem Olajuwon,,"Feb 28, 1993",Houston Rockets,C,7-0,255,30,1984,8
1992-1993,Larry Johnson,,"Feb 14, 1993",Charlotte Hornets,F,6-6,250,23,1991,1
1992-1993,Nick Anderson,,"Feb 7, 1993",Orlando Magic,GF,6-6,228,25,1989,3
1992-1993,Karl Malone,,"Jan 31, 1993",Utah Jazz,PF,6-9,265,29,1985,7
1992-1993,Patrick Ewing,,"Jan 24, 1993",New York Knicks,C,7-0,240,30,1985,7
1992-1993,Hakeem Olajuwon,,"Jan 17, 1993",Houston Rockets,C,7-0,255,30,1984,8
1992-1993,Shawn Kemp,,"Jan 10, 1993",Seattle SuperSonics,C,6-10,280,23,1989,3
1992-1993,David Robinson,,"Jan 3, 1993",San Antonio Spurs,C,7-1,250,27,1987,3
1992-1993,Sean Elliott,,"Dec 27, 1992",San Antonio Spurs,SF,6-8,205,25,1989,3
1992-1993,Patrick Ewing,,"Dec 20, 1992",New York Knicks,C,7-0,240,30,1985,7
1992-1993,Charles Barkley,,"Dec 13, 1992",Phoenix Suns,PF,6-6,252,30,1984,8
1992-1993,Drazen Petrovic,,"Dec 6, 1992",New Jersey Nets,SG,6-5,200,28,1986,3
1992-1993,David Robinson,,"Nov 29, 1992",San Antonio Spurs,C,7-1,250,27,1987,3
1992-1993,Michael Jordan,,"Nov 22, 1992",Chicago Bulls,SG,6-6,215,30,1984,8
1992-1993,Shaquille O'Neal,,"Nov 15, 1992",Orlando Magic,C,7-1,325,20,1992,0
1991-1992,Karl Malone,,"Apr 19, 1992",Utah Jazz,PF,6-9,265,28,1985,6
1991-1992,Reggie Lewis,,"Apr 12, 1992",Boston Celtics,SF,6-7,195,26,1987,4
1991-1992,Mookie Blaylock,,"Apr 5, 1992",New Jersey Nets,PG,6-1,190,24,1989,2
1991-1992,Mark Jackson,,"Mar 29, 1992",New York Knicks,PG,6-1,180,26,1987,4
1991-1992,Larry Johnson,,"Mar 22, 1992",Charlotte Hornets,F,6-6,250,22,1991,0
1991-1992,Joe Dumars,,"Mar 15, 1992",Detroit Pistons,SG,6-3,190,28,1985,6
1991-1992,Karl Malone,,"Mar 8, 1992",Utah Jazz,PF,6-9,265,28,1985,6
1991-1992,Danny Manning,,"Mar 1, 1992",Los Angeles Clippers,F,6-10,230,25,1988,3
1991-1992,Tim Hardaway,,"Feb 23, 1992",Golden State Warriors,PG,6-0,175,25,1989,2
1991-1992,John Stockton,,"Feb 16, 1992",Utah Jazz,PG,6-1,170,29,1984,7
1991-1992,Larry Nance,,"Feb 2, 1992",Cleveland Cavaliers,PF,6-10,205,33,1981,10
1991-1992,Nick Anderson,,"Jan 26, 1992",Orlando Magic,GF,6-6,228,24,1989,2
1991-1992,Tim Hardaway,,"Jan 19, 1992",Golden State Warriors,PG,6-0,175,25,1989,2
1991-1992,Michael Jordan,,"Jan 12, 1992",Chicago Bulls,SG,6-6,215,29,1984,7
1991-1992,Patrick Ewing,,"Jan 5, 1992",New York Knicks,C,7-0,240,29,1985,6
1991-1992,Scottie Pippen,,"Dec 29, 1991",Chicago Bulls,SF,6-8,228,26,1987,4
1991-1992,Pervis Ellison,,"Dec 22, 1991",Washington Bullets,C,6-9,210,24,1989,2
1991-1992,Dennis Rodman,,"Dec 15, 1991",Detroit Pistons,PF,6-7,210,30,1986,5
1991-1992,Jeff Malone,,"Dec 8, 1991",Utah Jazz,SG,6-4,205,30,1983,8
1991-1992,David Robinson,,"Dec 1, 1991",San Antonio Spurs,C,7-1,250,26,1987,2
1991-1992,Kevin Willis,,"Nov 24, 1991",Atlanta Hawks,C,7-0,245,29,1984,7
1991-1992,Brad Daugherty,,"Nov 17, 1991",Cleveland Cavaliers,C,7-0,245,26,1986,5
1991-1992,Chris Mullin,,"Nov 10, 1991",Golden State Warriors,SF,6-7,215,28,1985,6
1990-1991,Scott Skiles,,"Apr 21, 1991",Orlando Magic,PG,6-1,180,26,1986,4
1990-1991,Clyde Drexler,,"Apr 14, 1991",Portland Trail Blazers,SG,6-7,210,28,1983,7
1990-1991,Magic Johnson,,"Apr 7, 1991",Los Angeles Lakers,PG,6-9,255,31,1979,11
1990-1991,Clyde Drexler,,"Mar 31, 1991",Portland Trail Blazers,SG,6-7,210,28,1983,7
1990-1991,Mitch Richmond,,"Mar 24, 1991",Golden State Warriors,SG,6-5,215,25,1988,2
1990-1991,Kenny Smith,,"Mar 17, 1991",Houston Rockets,PG,6-3,170,25,1987,3
1990-1991,Dennis Scott,,"Mar 10, 1991",Orlando Magic,SF,6-8,229,22,1990,0
1990-1991,Gerald Wilkins,,"Mar 3, 1991",New York Knicks,SG,6-6,185,27,1985,5
1990-1991,Reggie Miller,,"Feb 24, 1991",Indiana Pacers,SG,6-7,185,25,1987,3
1990-1991,Lionel Simmons,,"Feb 17, 1991",Sacramento Kings,SF,6-7,210,22,1990,0
1990-1991,Otis Thorpe,,"Feb 3, 1991",Houston Rockets,PF,6-9,225,28,1984,6
1990-1991,Michael Adams,,"Jan 27, 1991",Denver Nuggets,PG,5-10,163,28,1985,5
1990-1991,Tim Hardaway,,"Jan 20, 1991",Golden State Warriors,PG,6-0,175,24,1989,1
1990-1991,Bernard King,,"Jan 13, 1991",Washington Bullets,SF,6-7,205,34,1977,13
1990-1991,Dominique Wilkins,,"Jan 6, 1991",Atlanta Hawks,SF,6-7,200,31,1982,8
1990-1991,Ricky Pierce,,"Dec 30, 1990",Milwaukee Bucks,SG,6-4,205,31,1982,8
1990-1991,Michael Jordan,,"Dec 23, 1990",Chicago Bulls,SG,6-6,215,28,1984,6
1990-1991,Kevin Johnson,,"Dec 16, 1990",Phoenix Suns,PG,6-1,180,24,1987,3
1990-1991,John Stockton,,"Dec 9, 1990",Utah Jazz,PG,6-1,170,28,1984,6
1990-1991,Michael Jordan,,"Dec 2, 1990",Chicago Bulls,SG,6-6,215,28,1984,6
1990-1991,Charles Barkley,,"Nov 25, 1990",Philadelphia Sixers,PF,6-6,252,28,1984,6
1990-1991,Clyde Drexler,,"Nov 18, 1990",Portland Trail Blazers,SG,6-7,210,28,1983,7
1990-1991,Chris Mullin,,"Nov 11, 1990",Golden State Warriors,SF,6-7,215,27,1985,5
1989-1990,David Robinson,,"Apr 22, 1990",San Antonio Spurs,C,7-1,250,24,1987,0
1989-1990,Magic Johnson,,"Apr 15, 1990",Los Angeles Lakers,PG,6-9,255,30,1979,10
1989-1990,Charles Barkley,,"Apr 8, 1990",Philadelphia Sixers,PF,6-6,252,27,1984,5
1989-1990,Michael Jordan,,"Apr 1, 1990",Chicago Bulls,SG,6-6,215,27,1984,5
1989-1990,David Robinson,,"Mar 25, 1990",San Antonio Spurs,C,7-1,250,24,1987,0
1989-1990,Kevin Johnson,,"Mar 18, 1990",Phoenix Suns,PG,6-1,180,23,1987,2
1989-1990,Rony Seikaly,,"Mar 11, 1990",Miami Heat,C,6-11,230,24,1988,1
1989-1990,Hakeem Olajuwon,,"Mar 4, 1990",Houston Rockets,C,7-0,255,27,1984,5
1989-1990,David Robinson,,"Feb 25, 1990",San Antonio Spurs,C,7-1,250,24,1987,0
1989-1990,Tom Chambers,,"Feb 18, 1990",Phoenix Suns,PF,6-10,220,30,1981,8
1989-1990,Tim Hardaway,,"Feb 4, 1990",Golden State Warriors,PG,6-0,175,23,1989,0
1989-1990,Karl Malone,,"Jan 28, 1990",Utah Jazz,PF,6-9,265,26,1985,4
1989-1990,Alvin Robertson,,"Jan 21, 1990",Milwaukee Bucks,SG,6-3,185,27,1984,5
1989-1990,Ron Harper,,"Jan 14, 1990",Los Angeles Clippers,SG,6-6,185,26,1986,3
1989-1990,Terry Teagle,,"Jan 7, 1990",Golden State Warriors,SG,6-5,195,29,1982,7
1989-1990,Karl Malone,,"Dec 30, 1989",Utah Jazz,PF,6-9,265,26,1985,4
1989-1990,Terry Cummings,,"Dec 24, 1989",San Antonio Spurs,PF,6-9,220,28,1982,7
1989-1990,Chris Mullin,,"Dec 17, 1989",Golden State Warriors,SF,6-7,215,26,1985,4
1989-1990,Michael Jordan,,"Dec 10, 1989",Chicago Bulls,SG,6-6,215,27,1984,5
1989-1990,Patrick Ewing,,"Dec 3, 1989",New York Knicks,C,7-0,240,27,1985,4
1989-1990,Clyde Drexler,,"Nov 26, 1989",Portland Trail Blazers,SG,6-7,210,27,1983,6
1989-1990,John Stockton,,"Nov 19, 1989",Utah Jazz,PG,6-1,170,27,1984,5
1989-1990,Vern Fleming,,"Nov 12, 1989",Indiana Pacers,G,6-5,185,28,1984,5
1988-1989,Xavier McDaniel,,"Apr 23, 1989",Seattle SuperSonics,PF,6-7,205,25,1985,3
1988-1989,Karl Malone,,"Apr 16, 1989",Utah Jazz,PF,6-9,265,25,1985,3
1988-1989,Clyde Drexler,,"Apr 9, 1989",Portland Trail Blazers,SG,6-7,210,26,1983,5
1988-1989,Michael Jordan,,"Apr 2, 1989",Chicago Bulls,SG,6-6,215,26,1984,4
1988-1989,Michael Jordan,,"Mar 26, 1989",Chicago Bulls,SG,6-6,215,26,1984,4
1988-1989,Kevin Johnson,,"Mar 19, 1989",Phoenix Suns,PG,6-1,180,22,1987,1
1988-1989,Isiah Thomas,,"Mar 12, 1989",Detroit Pistons,PG,6-1,180,27,1981,7
1988-1989,Chuck Person,,"Mar 5, 1989",Indiana Pacers,SF,6-8,220,24,1986,2
1988-1989,Patrick Ewing,,"Feb 26, 1989",New York Knicks,C,7-0,240,26,1985,3
1988-1989,Hakeem Olajuwon,,"Feb 19, 1989",Houston Rockets,C,7-0,255,26,1984,4
1988-1989,Ron Harper,,"Feb 5, 1989",Cleveland Cavaliers,SG,6-6,185,25,1986,2
1988-1989,Tom Chambers,,"Jan 29, 1989",Phoenix Suns,PF,6-10,220,29,1981,7
1988-1989,Chris Mullin,,"Jan 22, 1989",Golden State Warriors,SF,6-7,215,25,1985,3
1988-1989,Michael Jordan,,"Jan 15, 1989",Chicago Bulls,SG,6-6,215,26,1984,4
1988-1989,Dale Ellis,,"Jan 8, 1989",Seattle SuperSonics,GF,6-7,205,28,1983,5
1988-1989,Magic Johnson,,"Jan 1, 1989",Los Angeles Lakers,PG,6-9,255,29,1979,9
1988-1989,Clyde Drexler,,"Dec 25, 1988",Portland Trail Blazers,SG,6-7,210,26,1983,5
1988-1989,Robert Parish,,"Dec 18, 1988",Boston Celtics,C,7-0,230,35,1976,11
1988-1989,Michael Adams,,"Dec 11, 1988",Denver Nuggets,PG,5-10,163,26,1985,3
1988-1989,Magic Johnson,,"Dec 4, 1988",Los Angeles Lakers,PG,6-9,255,29,1979,9
1988-1989,Patrick Ewing,,"Nov 27, 1988",New York Knicks,C,7-0,240,26,1985,3
1988-1989,Michael Jordan,,"Nov 20, 1988",Chicago Bulls,SG,6-6,215,26,1984,4
1988-1989,Hakeem Olajuwon,,"Nov 13, 1988",Houston Rockets,C,7-0,255,26,1984,4
1987-1988,Karl Malone,,"Apr 24, 1988",Utah Jazz,PF,6-9,265,24,1985,2
1987-1988,Fat Lever,,"Apr 17, 1988",Denver Nuggets,PG,6-3,170,27,1982,5
1987-1988,Harold Pressley,,"Apr 10, 1988",Sacramento Kings,GF,6-7,210,24,1986,1
1987-1988,Michael Jordan,,"Apr 3, 1988",Chicago Bulls,SG,6-6,215,25,1984,3
1987-1988,Michael Jordan,,"Mar 27, 1988",Chicago Bulls,SG,6-6,215,25,1984,3
1987-1988,Charles Barkley,,"Mar 20, 1988",Philadelphia Sixers,PF,6-6,252,25,1984,3
1987-1988,Clyde Drexler,,"Mar 13, 1988",Portland Trail Blazers,SG,6-7,210,25,1983,4
1987-1988,Bobby Hansen,,"Mar 6, 1988",Utah Jazz,SG,6-6,190,27,1983,4
1987-1988,Roy Tarpley,,"Feb 28, 1988",Dallas Mavericks,PF,6-11,230,23,1986,1
1987-1988,John Stockton,,"Feb 21, 1988",Utah Jazz,PG,6-1,170,25,1984,3
1987-1988,Dominique Wilkins,,"Feb 14, 1988",Atlanta Hawks,SF,6-7,200,28,1982,5
